Principal components ,-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARVIND,DISHTV,HINDZINC,IOC,WIPRO,ACC,ADANIPORTS,ABIRLANUVO,ALBK,AMBUJACEM,ANDHRABANK,APOLLOTYRE,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BANKBARODA,BANKINDIA,BATAINDIA,BHARATFORG,BHEL,BPCL,BHARTIARTL,BIOCON,CESC,CAIRN,CANBK,CENTURYTEX,CIPLA,COLPAL,CROMPGREAV,DLF,DABUR,DIVISLAB,DRREDDY,EXIDEIND,FEDERALBNK,GAIL,GMRINFRA,GODREJIND,GRASIM,HCLTECH,HDFCBANK,HAVELLS,HEROMOTOCO,HEXAWARE,HINDALCO,HINDPETRO,HINDUNILVR,HDIL,HDFC,ICICIBANK,IDBI,IDFC,IFCI,ITC,IDEA,INDIACEM,IBREALEST,IOB,IGL,INDUSINDBK,INFY,JSWSTEEL,JPASSOCIAT,JPPOWER,JINDALSTEL,KTKBANK,KOTAKBANK,LICHSGFIN,LUPIN,MRF,M&M,MARUTI,MCLEODRUSS,NMDC,NTPC,ONGC,OFSS,ORIENTBANK,PTC,PETRONET,PFC,POWERGRID,PNB,RANBAXY,RCOM,RELIANCE,RELINFRA,RPOWER,RECLTD,SSLT,SRTRANSFIN,SIEMENS,SBIN,SAIL,SUNPHARMA,SUNTV,SYNDIBANK,TATACHEM,TATACOMM,TCS,TATAGLOBAL,TATAMOTORS,TATAPOWER,TATASTEEL,TECHM,TITAN,UCOBANK,ULTRACEMCO,UNIONBANK,UNITECH,UPL,MCDOWELL-N,VOLTAS,YESBANK,ZEEL
0.006417358,0.003937063,0.00775919,0.004111298,0.019267064,0.069448238,0.004443034,0.029064139,0.010536522,0.010874777,0.005281387,0.006297059,0.001535609,0.030041157,0.008694821,0.064718428,0.149360363,0.048172064,0.006440627,0.074891239,0.016068321,-0.011567035,0.016172234,-0.004609928,0.011438468,0.003307533,0.013829401,0.025416184,0.007323278,0.01371316,0.078608365,0.001662235,-0.0044903,0.006911989,0.053668803,0.120755755,0.008493294,0.029676903,0.01010845,-0.00334622,0.018421759,0.101176555,0.041170152,0.038562871,0.052118318,0.075306611,0.008897661,0.005717036,0.002951846,0.023576986,-0.008852805,0.038579441,0.049472216,0.003120746,0.006455033,0.000484968,0.017357254,0.003311249,-0.00305425,-0.009579733,0.001821239,0.014931103,0.032227347,0.099078832,0.037479385,-0.001224577,-0.001456952,0.013794351,0.003944057,0.038747364,0.01980394,0.0431561,0.895114716,0.05611596,0.044942068,0.021910502,-0.009766189,-0.003187902,0.006375183,0.186851983,0.016017972,-0.000703445,0.010616706,0.003349065,0.001407526,0.034396526,0.027796362,-0.01507602,-0.004978215,-0.028447705,-0.003019055,0.010958987,0.003745058,0.042637496,0.036784276,0.0925763,-0.00323904,0.022136722,0.015743982,0.005490991,0.016286809,-0.024758096,0.094733796,0.007443656,0.023287258,0.000818118,0.011786906,0.032947688,0.02160987,0.005095494,0.118063543,0.005693715,-0.002650585,0.000644858,0.048510719,0.003664637,0.031730488,0.010602045
0.004747724,-0.00072463,-0.010664965,-0.051549674,-0.060187439,0.050996468,-0.017610032,-0.03781994,-0.040609541,0.008887748,-0.025817527,-0.002264639,-0.005475271,0.016541424,-0.055182944,-0.203015881,-0.007908111,-0.113665921,-0.072202317,0.142954388,-0.051368622,-0.106718272,-0.011844895,-0.008224411,-0.065031715,-0.050439091,-0.020171654,-0.10313212,-0.082087533,-0.014033019,0.072115653,-0.086447493,-0.052811647,-0.001447342,0.070598055,-0.081680741,-0.018720269,-0.010358494,-0.072300268,-0.011634454,0.004067443,0.024431036,-0.012236986,0.012650605,0.029620813,-0.076114162,0.016017264,-0.047239801,-0.055610893,0.059334265,-0.07716034,-0.026063275,-0.129926325,-0.029124661,-0.028287262,-0.014368701,0.020741713,0.00496945,-0.008166686,-0.044282159,-0.029022899,-0.03410187,0.007951769,-0.406141457,-0.275321974,-0.024293133,-0.012837759,-0.160286515,-0.023210174,0.008488956,-0.009809288,0.012375741,0.172515586,-0.037674558,-0.149473698,-0.009628348,-0.061797224,-0.015033585,-0.029671871,-0.082625347,-0.076595586,-0.023746062,0.006112301,-0.063450645,0.000857209,-0.218177415,-0.055221121,-0.023350455,-0.136236455,-0.208703817,-0.024966003,-0.059535108,-0.094938414,-0.106379709,-0.101880908,-0.430318816,-0.051962843,0.026756409,-0.088624317,-0.011213107,-0.04295216,0.010509685,-0.013099345,-0.001542113,-0.009845359,-0.020151245,-0.129528075,-0.07848482,0.013717132,-0.020280261,0.124371515,-0.069771862,-0.020716237,-0.025905005,-0.213210385,-0.055960774,-0.013786222,-0.005706383
-0.023232182,-0.0141686,-0.016473632,-0.00019915,-0.028043526,-0.078446144,-0.011829798,0.061795181,-0.034097536,-0.012586876,-0.011182739,-0.002873595,-0.001129644,-0.045663109,0.007812188,-0.041708246,-0.303514344,-0.151575241,-0.012534018,-0.148676658,-0.035986446,0.049991636,-0.006412784,-0.019371489,-0.044167469,0.057968747,-0.02473078,-0.085943669,0.117137188,0.008436818,-0.076503621,-0.0007782,0.085644818,-0.008810955,0.001329243,-0.261901416,-0.018285524,-0.059427166,-0.034490933,0.019122779,0.007366526,0.257441349,-0.040289724,-0.035812537,-0.057133916,-0.100385104,-0.018202372,-0.023903398,0.009145739,-0.013367454,0.107789203,-0.052633348,-0.009713957,-0.001798264,0.021930172,0.006503973,-0.023012827,-0.005259456,0.027344256,0.069305781,-0.013678209,-0.117846876,-0.046213564,-0.308897936,0.105365721,0.045226215,0.020069377,-0.003299686,0.024291425,-0.011371212,-0.023077917,-0.079503148,0.170661284,-0.096907629,0.206306777,0.005256725,0.072646569,0.018751971,0.010579774,0.123875712,-0.025453197,0.017311509,-0.039311961,0.032771717,0.00751215,-0.113293058,-0.041431699,0.071800631,0.106966251,0.351702419,0.029014676,0.01923444,0.039325391,-0.095442093,-0.145966484,-0.034478436,0.036355477,-0.035542917,0.013110151,-0.0066923,-0.02876494,0.105751221,-0.239122251,0.009098961,-0.032073913,0.009959493,-0.000289037,0.188775432,-0.055909145,-0.01581033,0.020036871,-0.005887005,0.03187591,0.007779008,0.282860824,0.012607241,-0.00663339,0.014527418
0.015246579,0.011177329,0.020218507,-0.032726135,0.025970626,0.180797577,0.002847086,0.125684005,-0.016391662,0.021207801,-0.012794853,0.001491042,-0.002794584,0.017891896,0.004903164,-0.011029512,0.106341352,-0.002008621,-0.029615276,0.106488475,-0.001335399,-0.015084425,-0.016285807,0.019419549,0.01455333,-0.005773048,0.013402805,-0.023514853,0.019608667,0.02590811,0.079815421,-0.018834245,0.009822479,0.005641754,0.054145157,0.085882975,0.002937566,0.010641633,0.007875653,-0.003190397,0.01935984,0.690561446,0.066584889,0.042836957,0.028238634,0.105725592,0.018049605,0.005195351,-0.05210556,0.048730516,0.005184104,0.051559746,0.066041257,0.000557149,-0.001083387,-0.004724799,0.0208729,0.009695341,0.000701995,-0.004332731,-0.007220941,0.021042925,0.018576824,0.12739244,-0.028086197,0.011512985,0.002789366,0.029627343,-0.011656141,0.057817838,0.002101368,0.032672592,-0.300920138,0.094687966,0.112006014,0.040609593,0.057931281,0.001597684,-0.001295152,0.289108053,-0.03588234,-0.00954966,0.024367165,-0.036419745,0.007765941,-0.046469325,0.026728523,-0.013987502,0.040680836,-0.068353673,-0.011160774,-0.026430087,0.00769468,-0.011541301,0.060621996,-0.175687167,-0.004760829,0.030035613,-0.023336744,-0.000473794,-0.000791786,-0.025482576,0.153923564,0.002479273,0.011360457,0.004286913,0.040734746,0.180591523,0.020537132,-0.012903743,0.245929036,-0.027109787,-0.005614347,-0.007134288,-0.01783073,-0.013896235,0.012153778,0.010631318
-0.003272764,-0.01128154,0.003091245,-0.003034209,0.058499244,-0.011951813,0.002490491,0.017357359,-0.006563076,-0.01974177,-0.000743594,0.005310906,0.003005435,-0.041316162,-0.037700575,-0.093954444,-0.153452383,-0.066970038,0.001270675,-0.014314788,0.040226521,0.037186851,-0.008866664,0.004113505,-0.020677347,0.015698554,0.022022624,-0.056721253,0.029962317,-0.02322362,-0.103802919,0.00493281,0.040760482,-0.008819122,-0.117537013,-0.035229891,-0.003209328,-0.051290879,0.013838352,0.012051146,-0.01168302,0.024043207,-0.058821464,-0.062536488,-0.025116176,0.382348243,0.021938835,-0.000730026,-0.008295629,-0.050097111,0.052557524,-0.058440844,-0.117995033,-0.004046269,-0.004705646,0.006676296,-0.030791099,-0.000984093,0.008195276,0.02761301,-0.00361213,0.009710567,-0.046441783,0.20256074,0.071695005,0.021619273,0.017517639,0.146102395,-0.03265755,0.000263475,0.012225071,-0.02540371,0.115370965,-0.095237884,0.061330687,-0.008016046,0.06084951,0.011292379,0.014295728,0.027688308,-0.063782549,-0.008192619,-0.002784247,-0.009731416,0.002990402,0.026200575,-0.001141984,0.026385679,0.034962871,0.223945871,0.018728439,-0.008327761,0.067443902,-0.130227885,0.074008915,-0.166239077,0.029313294,-0.039897844,-0.071913126,-0.01844909,0.010454564,-0.014757651,-0.031629726,-0.021280392,-0.016596775,0.008607364,0.060443562,0.048535673,-0.046540398,-0.014348024,-0.185272452,-0.025757399,0.013838903,0.014599801,-0.681280139,0.008248289,-0.038209268,-0.029753346
0.008850997,0.009171796,-0.008874137,0.00452599,-0.034567426,0.132036028,-0.000420153,0.07883542,0.02586809,0.019282184,0.017819679,-0.002350697,-0.001991641,-0.019756448,-0.021174998,0.047161643,0.020942171,0.104535215,0.099545989,0.053854951,0.028340614,-0.017227612,0.015280632,0.092138342,-0.009329977,-0.033289109,0.022303733,0.096273625,-0.009902791,-0.048091717,-0.037981807,-0.009977265,0.060924206,-0.010124311,-0.078353667,-0.06985927,0.000409244,0.06660331,-0.038631768,0.008645492,0.03553619,0.357408356,-0.028235738,0.031974249,0.029018758,-0.204596142,0.012130005,0.005821587,0.024547633,0.030007188,-0.010817117,0.063284802,0.127284513,0.018884933,0.008076552,0.01154133,0.005814304,0.016106755,0.02546723,0.047908422,0.03002228,-0.024091617,0.018861654,-0.198553202,-0.137542198,0.007185389,0.006282102,-0.052135952,0.010074098,0.065599646,0.027008312,-0.031873053,0.038421916,-0.027787866,0.019800382,-0.039460557,-0.009308299,0.000793956,0.02362899,-0.435084926,0.014630951,-0.006399467,0.020707319,0.006748038,0.007334185,0.048266264,-0.063728378,0.075559107,0.021839636,0.0992343,0.02504529,-0.002085992,-0.118361202,0.030022974,0.008277123,0.488171879,-0.027698998,0.008798622,-0.022832228,0.019994649,0.007444735,0.143464872,-0.01376423,0.001997945,0.034724265,0.000635215,0.00441125,-0.086225502,0.024392948,0.024483584,0.048229034,0.023604448,0.009996494,0.00956734,-0.35325695,0.00238632,-0.002118474,-0.025523116
-0.020959168,-0.016635275,0.007323886,-0.046936774,0.060617235,-0.023333237,-0.03971073,-0.240985548,-0.002899889,-0.010751416,-0.013091022,0.003351995,-0.004970377,-0.033179112,0.02050425,-0.125533048,-0.306753678,-0.042986773,0.030738669,-0.122741506,0.020795997,-0.052701818,-0.01823072,-0.095052374,-0.064086915,-0.02216274,0.026226677,0.033805424,-0.07901984,0.00951653,-0.102893361,0.023368978,-0.049047688,-0.006758476,-0.060896044,0.018922932,-0.00893024,-0.036138267,-0.033416256,-0.008197112,-0.020182883,0.049432537,0.069736749,-0.043077222,0.034864955,-0.583856821,0.011400098,0.030293324,-0.068468554,0.005769902,-0.029273523,-0.061078674,-0.016150067,-0.000846878,-0.015265911,-0.001071179,-0.009173362,-0.034187503,-0.001127531,-0.026373656,0.002569798,-0.127442215,-0.018600612,0.321689574,0.001723893,-0.022489284,-0.016581874,0.005205016,-0.036486253,-0.042360133,-0.035588947,-0.013185779,0.034144478,-0.148514883,-0.007039614,0.004585191,-0.013552952,-0.004396306,-0.021319389,0.28534696,-0.051446566,-0.003424899,-0.036655408,0.006065048,-0.003697405,-0.108467629,0.003567226,-0.056567875,-0.054185455,-0.16435744,-0.010862182,-0.015358162,0.003966381,-0.014105806,-0.111244354,0.140970284,-0.003871576,0.006516962,0.033470244,-0.006852425,-0.030344505,0.001108109,0.176357823,-0.003386744,0.068905379,-0.000153893,0.044803889,0.012215459,-0.026819205,0.008353797,0.022147994,-0.017964093,-0.017804067,-0.037917714,-0.192313591,-0.000971115,-0.01860719,-0.008614637
0.018687295,0.029634951,0.011239925,0.02643157,-0.017683034,-0.100749499,-0.011541919,0.14700782,0.002550399,-0.016904431,0.018953473,0.002705262,-0.004329454,0.058883587,0.004287964,-0.010585203,-0.127094397,0.009858033,0.04741433,0.2320098,0.053107673,-4.97E-05,0.069386978,0.036465228,0.025276175,0.026082084,-0.004562581,-0.035681704,-0.004672319,-0.01697665,0.108434195,-0.011120539,0.034051933,0.016554189,0.152109687,0.004517405,0.028827686,0.046160631,0.016070131,-0.000980572,0.071844511,-0.309926921,0.085501083,0.061585959,-0.02719445,-0.024674279,0.036638256,-0.006042915,0.085211825,0.054029624,0.070052178,0.059087291,0.134940249,0.015845925,-0.006130494,0.004903852,0.035983406,-0.003092265,-0.031015242,0.052918577,0.043382998,-0.001665654,0.010508725,-0.359693019,-0.179303106,0.002322226,0.000326796,0.037872956,-0.001754401,0.072024618,0.018998296,0.045307143,-0.094957383,0.056123633,0.160861401,0.103189661,0.100063119,0.001075132,0.019638262,0.418124499,-0.025228465,-0.006486064,0.019823623,-0.065752153,0.007090273,0.001202055,0.114215322,-0.021054225,-0.029493717,-0.036832563,-0.013524602,-0.050814337,-0.014311265,-0.00456269,0.127621553,0.272673785,-0.025428687,0.021614693,-0.112493244,0.014531369,0.007814305,-0.000411097,0.100151629,-0.004212661,-0.015751313,0.014973174,0.048024193,0.282740151,0.041605576,0.00218846,-0.110861936,0.001548657,-0.005045932,-0.002631371,-0.192833813,0.010732856,0.02970401,0.003399406
-0.037950996,-0.006899062,0.007787039,-0.021125503,-0.030160308,0.049014903,0.00716166,-0.38129311,0.002778601,0.017023247,0.013393645,0.023613458,0.003090863,0.01746277,0.001207581,0.009315578,-0.176174727,0.012892492,-0.044032117,0.127637744,0.052628854,0.043604235,0.005131393,-0.153171975,-0.000103559,0.06607204,0.016073908,-0.004377138,0.033026935,0.005259739,-0.115567533,0.082727194,-0.077361744,0.015968473,0.340518133,-0.020014275,0.026815139,0.006963014,0.04229291,0.004324505,-0.045733567,0.082035018,-0.030325289,0.049516371,0.0920287,0.199553637,0.01230773,0.029067221,0.01902745,0.015736769,-0.000559944,-0.049083546,0.045206228,-0.005459991,0.016969036,0.00420044,0.001715849,-0.042133917,0.014521775,-0.057091113,-0.012993103,-0.061668795,-0.005922378,-0.264522858,0.339633656,-0.001486909,-0.007572059,-0.050088208,-0.014249127,-0.028007672,0.010001117,0.082533428,-0.054203987,-0.051795182,-0.372278397,0.027298576,-0.008683717,0.007627342,-0.026370285,0.064981483,0.064115949,0.022096704,-0.020051748,0.062145144,0.009642599,0.043543031,0.126020239,-0.058454292,0.011199015,0.08240908,0.013343058,0.042093822,0.113044682,0.050152334,0.07965749,0.150887772,0.053249537,0.01895839,0.04427301,-0.01330273,-0.003603108,-0.054717876,0.048292151,0.015557394,-0.014534263,0.0001784,0.067967626,-0.145442526,-0.00125051,0.023973554,0.253518308,0.004776586,-0.013953758,-0.003646901,-0.086468166,0.056538545,-0.031882426,0.008647336
0.022525091,0.004486196,0.043432346,-0.023673248,0.040543726,-0.144601308,0.023435941,0.141216547,0.04695177,-0.036843052,0.007099126,0.011778358,-0.002701327,0.011969743,0.026696669,0.139033212,-0.201187477,0.087465449,0.023356908,0.018781935,-0.024880744,0.018940094,0.005788548,0.051848677,0.007266065,-0.009013505,-0.042177983,0.048673002,-0.014800206,-0.043163093,-0.098268167,0.019001395,-0.084199528,-0.005041919,-0.180525956,-0.095631836,0.013710374,-0.023543722,-0.009913877,-0.015675853,-0.028518877,0.213143847,0.03957969,-0.038210197,-0.04680968,-0.057334753,-0.009766464,0.056484155,-0.032429067,-0.152849037,0.007677547,-0.087428136,0.071502347,0.013169857,-0.04488205,-0.002735944,-0.021032878,0.000398003,-0.022004736,-0.034119151,0.027880475,0.049948943,0.005704089,-0.235210414,0.192228621,-0.020491407,-0.01192554,0.161965868,-0.048564228,-0.069421859,-0.022298963,-0.032953841,0.09156415,-0.105982492,-0.001503509,0.088742551,0.06490271,-0.014250369,-0.082969426,-0.159022858,0.035068107,0.003527554,0.004522122,-0.08109579,-0.009926171,0.166030284,0.061574688,-0.104561912,-0.166125566,-0.443050443,-0.055666338,-0.064358141,0.156350408,0.054899933,0.250347562,-0.142463279,0.039737697,-0.02924646,-0.031439251,0.005387712,0.044799123,-0.141185439,-0.000127613,-0.030284469,0.00067895,0.010244366,0.222565116,0.036764845,0.025617902,-0.010285935,-0.192744025,0.053788622,-0.027106919,-0.028626846,0.059184722,-0.026264431,0.011621954,-0.021130782
