WIPRO,ALBK,AMBUJACEM,ANDHRABANK,ASHOKLEY,ASIANPAINT,BHARATFORG,BHEL,CAIRN,CANBK,CENTURYTEX,COLPAL,DLF,DRREDDY,GMRINFRA,HCLTECH,HDFCBANK,HINDALCO,ICICIBANK,IOB,IGL,INDUSINDBK,KTKBANK,LUPIN,MRF,M&M,MCLEODRUSS,ONGC,ORIENTBANK,PNB,RECLTD,SRTRANSFIN,SAIL,SUNPHARMA,SYNDIBANK,TATACHEM,TCS,TITAN,UCOBANK,ULTRACEMCO,UNITECH,MCDOWELL-N,VOLTAS,YESBANK
1,0.855612721,0.513049582,0.810592372,0.860265937,0.588104477,0.909330026,0.233536766,0.890564125,0.830661289,0.464088784,0.523516567,0.130495801,0.809472192,-0.161392973,0.744918767,0.610185225,0.841717053,0.830152185,0.655253273,0.643644707,0.645129758,0.441115723,0.654554918,0.655313871,0.742985712,0.721443607,0.730335784,0.762903669,0.847345208,0.751819281,0.825796587,0.350479498,0.472298095,0.750731727,0.908955316,0.74466949,0.542964538,0.76435308,0.471421758,0.057257363,0.412131157,0.656653833,0.737449728
0.855612721,1,0.459313972,0.954911387,0.884216681,0.559806373,0.910658487,0.273446853,0.811763658,0.964481422,0.359276184,0.456508186,0.042068779,0.775412211,-0.189299155,0.651425287,0.572480999,0.889163428,0.846840564,0.819895802,0.758706412,0.631015695,0.534597151,0.619652602,0.576841334,0.720668835,0.578004397,0.700046615,0.928340497,0.9485509,0.796714845,0.929381955,0.2942797,0.426798183,0.872851947,0.926809914,0.676443848,0.581672153,0.951865793,0.350655376,0.015845348,0.441611848,0.709722213,0.690528308
0.513049582,0.459313972,1,0.34698538,0.425925677,0.930643745,0.511707916,-0.559416541,0.745690626,0.471192219,-0.035711936,0.944350061,-0.387974522,0.857514103,-0.73128614,0.889829408,0.958116309,0.211989672,0.64370893,0.024591113,0.534447544,0.946521351,0.181110371,0.927023114,0.878916248,0.886431668,0.79542853,0.328240312,0.387463494,0.282142114,0.268058501,0.651884139,-0.454073997,0.957969116,0.686016563,0.602959813,0.894874734,0.924532147,0.449931206,0.956076114,-0.530458491,0.260219194,-0.035961912,0.875719611
0.810592372,0.954911387,0.34698538,1,0.902714565,0.460760288,0.8958149,0.427436385,0.740544932,0.921104316,0.504513415,0.352833309,0.226708849,0.673917135,0.003479302,0.559716969,0.485337037,0.876071894,0.840843706,0.855563132,0.647647587,0.522534754,0.649809677,0.511134434,0.512688915,0.641107851,0.531733827,0.779131222,0.940718705,0.953047439,0.859163392,0.87654207,0.438909392,0.293539628,0.839120334,0.88492974,0.549941478,0.455340614,0.935960702,0.255579533,0.206920794,0.498208828,0.817818011,0.627305353
0.860265937,0.884216681,0.425925677,0.902714565,1,0.515396149,0.888928677,0.354649513,0.783226351,0.841120474,0.573901694,0.440145769,0.222300975,0.726043689,-0.019368079,0.591984864,0.538288084,0.786172327,0.78096076,0.655503528,0.618554178,0.576974789,0.628206847,0.578591766,0.630744302,0.688884729,0.594660188,0.788855984,0.888051887,0.892187934,0.906180071,0.831928974,0.438766622,0.353571712,0.755896036,0.888679977,0.58124552,0.461259261,0.836258617,0.37235726,0.222487666,0.532077458,0.775728336,0.696883698
0.588104477,0.559806373,0.930643745,0.460760288,0.515396149,1,0.60231441,-0.51633775,0.774609354,0.533200176,-0.043285589,0.972764142,-0.430014422,0.913240303,-0.762216544,0.935026724,0.973387649,0.292461887,0.681806587,0.128942702,0.614490171,0.977882703,0.202865241,0.97547225,0.920333952,0.917196518,0.860557927,0.359685543,0.466032703,0.378710896,0.31072644,0.724619849,-0.415536545,0.960238519,0.731198807,0.690636425,0.937153112,0.964609945,0.526420116,0.903440988,-0.550234086,0.286510724,0.03478977,0.917224641
0.909330026,0.910658487,0.511707916,0.8958149,0.888928677,0.60231441,1,0.233968747,0.877505023,0.880910634,0.406124744,0.507509247,0.110628689,0.803840651,-0.171008983,0.700228843,0.619071735,0.849459019,0.837177689,0.742905662,0.693498058,0.646839598,0.450215453,0.674939318,0.637702976,0.750983886,0.679422195,0.770270432,0.820784451,0.879524298,0.775622836,0.866762662,0.292745373,0.473559353,0.800224702,0.918240621,0.734562994,0.581463898,0.881952864,0.429658434,0.041992391,0.347214728,0.708802854,0.706047852
0.233536766,0.273446853,-0.559416541,0.427436385,0.354649513,-0.51633775,0.233968747,1,-0.069728099,0.255855396,0.718543586,-0.58003435,0.774395657,-0.269033419,0.836757401,-0.329390395,-0.462634726,0.529053667,0.184709861,0.599814987,-0.050449117,-0.467049167,0.521834741,-0.471073883,-0.377428375,-0.251087944,-0.21875551,0.469293342,0.411157004,0.499403837,0.557443698,0.099062173,0.944963333,-0.659523663,0.03364017,0.172629189,-0.404133186,-0.549872198,0.264204974,-0.565243304,0.861890436,0.36619834,0.790718856,-0.261533116
0.890564125,0.811763658,0.745690626,0.740544932,0.783226351,0.774609354,0.877505023,-0.069728099,1,0.782099738,0.255312157,0.729130674,-0.090462887,0.907430671,-0.396341182,0.863444328,0.810066467,0.675065773,0.825382379,0.504738444,0.681554098,0.825387688,0.365200269,0.824063652,0.800143401,0.849460893,0.778712158,0.656526703,0.690707941,0.718569225,0.630940631,0.843787521,0.028624377,0.708134462,0.795140607,0.88222185,0.880862173,0.761026141,0.759426326,0.68045053,-0.190498883,0.300060354,0.44714055,0.847766381
0.830661289,0.964481422,0.471192219,0.921104316,0.841120474,0.533200176,0.880910634,0.255855396,0.782099738,1,0.338204506,0.440623376,0.048136502,0.769576757,-0.191877095,0.63615914,0.55753766,0.89406073,0.850572912,0.819230405,0.703627357,0.621151429,0.540145882,0.602711661,0.544718505,0.721706391,0.543711106,0.681774328,0.912458539,0.918449957,0.778875434,0.919771465,0.284097031,0.427209508,0.887148693,0.880926014,0.671328777,0.568251983,0.956587589,0.357387704,0.008663833,0.470710103,0.696129532,0.669700015
